age	value
17	10.735999851226806
105	10.009166431427001
234	9.88933343887329
365	10.442499732971191
519	10.925500411987304
646	10.611999912261963
783	11.05866668701172
963	11.223500051498412
1200	11.616665840148926
1435	11.100833463668824
1600	12.483332633972168
1823	12.116833534240723
2071	11.119500055313111
2337	11.504499969482422
2585	11.67166690826416
2818	12.337000045776367
3086	12.613666419982911
3338	12.315332794189453
3691	12.428666973114014
4230	12.725000190734864
4527	12.85033290863037
4869	12.602833309173583
5416	13.049332885742187
5991	14.047166557312012
6453	13.819833393096923
6943	13.75200023651123
7331	13.736665782928467
7738	14.702999954223634
8213	13.086000509262085
8747	13.649500179290772
9164	14.167999839782714
9368	11.380666618347169
9522	11.289333877563477
9663	11.31083317756653
9811	11.537667055130004
10078	10.95366641998291
10203	11.075666790008546
10453	9.758833198547363
