Age	Alleniella/Pleurozium/Loeskeobryum/Scorpidium	Amphidium lapponicum/Kiaeria spp	Andreaea blyttii	Andreaea nivalis	Andreaea rupestris	Arctoa fulvella	Aulacomnium palustre	Bartramiaceae	Blindia acuta	Bryanae	Bucklandiella microcarpa/Grimmia hartmanii	Dicranella	Dicranodontium denudatum	Dicranum	Dicranum spurium/scoparium	Dicranum/Paraleucobryum	Dicranum/Paraleucobryum/Orthodicranum	Diplophyllum taxifolium	Encalypta alpina	Encalypta longicollis/streptocarpa/rhaptocarpa	Fissidens bryoides	Fissidens/Dilutineuron	Frullania/Marsupella/Syzygiella/Ptilidium 	Grimmia ovalis	Grimmia ramondii	Grimmia/Codriophorus/Dichodontium/Racomitrium heterostichum	Grimmiaceae	Gymnomitrion concinnatum/obtusum	Hygrobiella laxifolia	Hylocomiastrum/Campylophyllum/Orthothecium/Platyhypnum alpestre	Hylocomium splendens	Hypnales_1	Hypnales_2	Kiaeria glacialis	Lophozia/Lophoziopsis/Scapania	Mielichhoferia mielichhoferiana	Mnium/Pseudobryum	Niphotrichum canescens	Niphotrichum panschii/canescens	Pellia neesiana/epiphylla	Plagiothecium denticulatum	Pogonatum dentatum/Oligotrichum hercynicum	Pohlia wahlenbergii/Pohlia nutans	Polytrichastrum/Polytrichum/Psilopilum/Pogonatum	Porella/Nardia	Pseudohygrohypnum/Hygrohypnella	Ptychostomum/Rosulabryum/Bryum	Ptychostomum/Rosulabryum/Plagiobryum demissum	Racomitrium lanuginosum	Racomitrium lanuginosum/Saelania glaucescens	Rhabdoweisia/Dicranoweisia/Oncophorus/Cnestrum schisti	Sanionia uncinata	Scapania spp/Douinia ovata	Scapania undulata	Sciuro-hypnum starkei/reflexum	Solenostoma obovatum	Sphagnum magellanicum	Sphagnum russowii	Timmia norvegica/austriaca	Tritomaria/Barbilophozia/Anastrepta/Harpanthus/Tetralophozia	Diphasiastrum/Lycopodium	Huperzia	Andromeda polifolia	Arctous alpina	Calluna vulgaris	Cassiope tetragona	Diapensia lapponica	Dryas octopetala	Empetrum nigrum	Harrimanella hypnoides	Kalmia procumbens	Phyllodoce caerulea	Vaccinium myrtillus	Vaccinium uliginosum	Vaccinium vitis-idaea	Athyrium	Athyrium distentifolium	Botrychium	Cryptogramma crispa	Cystopteris fragilis	Cystopteris/Gymnocarpium	Dryopteris	Gymnocarpium	Matteuccia struthiopteris	Phegopteris connectilis	Polypodium vulgare	Polystichum lonchitis	Pteridium aquilinum subsp. latiusculum	Thelypteris palustris	Woodsia alpina/glabella	Woodsia ilvensis	Alchemilla	Alchemilla alpina	Angelica archangelica	Angelica sylvestris	Antennaria spp./Gnaphalium supinum/Filago arvensis	Anthemideae_cf_Achillea_millefolium/Tanacetum_vulgare	Arabis cf alpina	Asteraceae2	Asteraceae3	Asteroideae	Asteroideae_cf_Omalotheca	Bartsia alpina	Bistorta vivipara	Campanula1	Cardamine	Carduinae	Cerastium	Chamaenerion angustifolium	Comarum palustre	Cornus suecica	Crepis spp/Lapsana communis	Epilobium	Euphrasia	Filipendula ulmaria	Geranium sylvaticum	Geum	Melampyrum cf pratense	Micranthes hieraciifolia/nivalis/tenuis	Micranthes stellaris	Myosotis arvensis	Orchidinae	Oxyria digyna	Pedicularis cf hirsuta	Pedicularis lapponica	Pinguicula alpina	Potentilla	Potentilla erecta	Pyrola minor/media	Pyrola rotundifolia/grandiflora	Ranunculus acris/subborealis	Ranunculus glacialis/hyperboreus	Ranunculus nivalis	Ranunculus pygmaeus	Rhinanthus	Rhodiola rosea	Rosoideae	Rubus/Fragaria	Rumex	Sagina	Saussurea alpina/Lactuca sibirica	Saxifraga aizoides/oppositifolia	Saxifraga cernua	Saxifraga cernua/rivularis	Saxifraga cespitosa	Saxifraga cotyledon/paniculata	Saxifraga oppositifolia	Scorzoneroides autumnalis	Sibbaldia 	Sibbaldia procumbens1	Silene acaulis	Solidago	Thalictrum	Tofieldia pusilla	Trientalis europaea	Tripleurospermum maritimum	Trollius europaeus	Veronica cf. fruticans	Veronica scutellata/alpina	Vicia	Viola biflora	Viola epipsila	Agrostis spp/Calamagrostis spp	Alopecurus/Phleum	Anthoxanthum	Avenella flexuosa	Carex	Carex lachenalii	Carex vaginata	Catabrosa aquatica/Poa annua	Deschampsia	Eriophorum/Trichophorum cespitosum	Festuca spp/Lolium 	Juncus arcticus/balticus/filiformis	Juncus biglumis	Luzula confusa/wahlenbergii/arcuata	Luzula parviflora/luzuloides	Luzula sudetica/multiflora/spicata	Nardus stricta	Oreojuncus trifidus	Poa pratensis/alpina/Anthoxanthum	Pooideae	Trichophorum cespitosum	Equisetum fluviatile/arvense/sylvaticum	Equisetum pratense/palustre	Equisetum scirpoides/variegatum/hyemale	Juniperus communis	Alnus incana	Betula	Populus tremula	Prunus padus	Saliceae	Sorbus aucuparia cf.
8213	0	0	0	0	7	0	0	22	11	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	21	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	66	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	51	0	0	12	0	0	0	278	3305	0	91	0	3	1185	0	1468	44	0	5	0	0	61	1955	0	76804	0	0	0	44	0	0	160	0	242	0	8	0	0	64	63	0	149	310	458	0	4	129	0	0	0	4	4	0	0	69	0	0	0	70	0	0	0	2562	0	0	0	0	0	6	0	0	40	0	0	0	0	8	45	16	0	0	13	0	0	0	0	71	0	0	0	0	180	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	3	0	0	0	13124	0	0	21979	868
8747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2268	0	0	23	0	0	0	457	114	0	196	0	953	667	0	17983	0	105	0	0	0	1383	2944	0	0	0	0	0	34	0	0	4	0	0	0	0	0	0	0	0	0	0	234	298	0	0	4	0	0	0	0	0	0	27	642	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	489	0	0	0	0	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	553	1676	0	128	7877	335
9164	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1669	0	0	0	0	0	0	20	113	0	37	0	0	2678	0	3054	0	0	0	0	0	0	4264	0	0	0	33	0	54	0	0	189	0	796	0	0	0	0	303	73	0	0	158	79	0	0	380	0	0	0	0	0	0	0	84	0	0	0	17	0	0	0	500	0	0	0	0	0	90	174	0	0	0	0	0	14	8	143	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	76553	38	0	3806	1170
9368	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53880	0	15	0	0	0	18	0	0	0	0	0	0	0	0	0	0	21741	0	0	0	0	0	0	80	81	0	0	0	0	667	0	3225	0	0	0	0	0	0	14185	0	0	0	0	0	37	0	0	481	0	0	0	0	0	0	0	11	0	0	287	46	0	0	500	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	233	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	840	0	0	7390	1047
9522	0	0	0	0	922	0	0	0	66	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47086	0	0	92	0	0	0	297	483	0	0	0	0	5267	0	12796	0	0	1782	0	0	103	27093	0	0	0	0	0	249	0	0	0	0	1180	0	0	0	0	0	363	0	0	0	907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	477	0	0	0	0	0	236	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	340	0	0	15331	0
9663	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1780	0	0	24	0	0	0	499	1043	0	0	0	0	0	0	95	0	0	64	0	0	184	5274	0	0	0	0	0	33	0	0	0	0	1134	0	0	0	0	57	65	0	55	0	484	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	583	0	0	21430	0
9811	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	0	0	0	0	30	0	0	0	0	0	0	0	0	0	35	0	665	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	791	0	0	0	0	0	0	1342	1940	0	0	0	0	0	0	0	0	0	24	366	0	0	3294	0	0	0	0	0	0	0	0	0	0	940	0	0	0	0	0	0	0	0	1810	1790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1804	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	128	0	0	0	0	0	113139	0
10078	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1095	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	177	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	90	528	0	0	0	0	0	0	0	0	0	0	29183	4391	3681	1171	0	0	0	0	0	513	524	0	0	0	430	0	0	0	0	0	0	0	0	186	3097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	3	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	80	0	0	0	0	0	113357	0
10203	0	0	0	0	149	0	0	136	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	3784	0	0	0	0	0	0	0	0	6413	0	0	0	0	0	0	0	0	0	0	0	0	179	1199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50525	0
10453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	696	0	0	0	0	233	0	0	0	0	0	0	24573	44251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	1499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56669	0
